Institute,Academic Program Name,Quota,Seat Type,Gender,Avg_Closing_Rank,Min_Closing_Rank,Max_Closing_Rank,Std_Dev_Closing_Rank,Closing_Rank_2024_R1.0,Closing_Rank_2024_R2.0,Closing_Rank_2024_R3.0,Closing_Rank_2024_R4.0,Avg_Opening_Rank
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12305.9,10211.0,13602.0,1270.8360721281963,11605.0,12252.0,13175.0,13175.0,11596.7
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),23449.4,19132.0,25124.0,2356.5818560882703,23136.0,24089.0,25124.0,25124.0,23449.4
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,23678.9,20253.0,26399.0,2319.560420520329,21415.0,25124.0,26399.0,26399.0,21335.7
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),64368.0,57456.0,66731.0,3726.0605052640904,66674.0,66731.0,66731.0,66731.0,64368.0
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,68611.5,58067.0,75208.0,6483.215667312701,64102.0,71098.0,72056.0,72056.0,54085.8
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2093.0,1138.0,3118.0,1104.2191811411356,3118.0,0.0,0.0,0.0,2093.0
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11048.5,9678.0,11897.0,841.8542035293283,10507.0,11897.0,11897.0,11897.0,10208.2
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,5477.3,4287.0,6481.0,802.9401596632216,4911.0,5529.0,5529.0,5529.0,4654.1
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,27534.7,19603.0,38645.0,6917.507981764658,22969.0,29073.0,38645.0,38645.0,25221.7
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),76455.7,51085.0,97172.0,17246.546894636296,87945.0,90673.0,97172.0,97172.0,76455.7
